unit_id	year	sem	code	title	level	dept_own	dept_teach	location	mode	survey_method	enrolled	class_size_log10	size_bin	sem_ord	isclayton	ispostgrad	responses	setu_overall	ChiefExaminer
5532	2017	Semester 2	MKF2131	Marketing decision analysis	2	Department of Marketing	Department of Marketing	Caulfield	On Campus	Web	147	2.167	4	Semester 2	0	0	40	4.1	538
5574	2017	Summer 2017/2018	BTF5160	The globalisation of law and development in Asia	5	Business Law & Taxation	Business Law & Taxation	Caulfield	On Campus	Web	102	2.009	3	Summer	0	1	40	4.36	287
5578	2017	Summer 2017/2018	ETX2250	Data visualisation and analytics	2	Econometrics & Business Statistics	Econometrics & Business Statistics	Caulfield	On Campus	Web	86	2.173	3	Summer	0	0	39	4.11	275
4919	2017	Semester 1	ACF3900	Global issues in accounting	3	Accounting	Accounting	Caulfield	On Campus	Web	27	1.431	1	Semester 1	0	0	4	4.17	433
4978	2017	Semester 1	BFC3240	International finance	3	Banking & Finance	Banking & Finance	Clayton	On Campus	Web	290	2.462	5	Semester 1	1	0	96	4	165
5012	2017	Semester 1	BFF5935	Portfolio management and theory	5	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	217	2.336	4	Semester 1	0	1	107	4.3	591
5055	2017	Semester 1	ECC2000	Intermediate microeconomics	2	Department of Economics	Department of Economics	Clayton	On Campus	Web	245	2.389	5	Semester 1	1	0	108	4.01	174
5175	2017	Semester 1	MGF5961	Supply chain management	5	Department of Management	Department of Management	Caulfield	On Campus	Web	309	2.49	5	Semester 1	0	1	140	4.28	15
5246	2017	Semester 2	ACF2100	Financial accounting	2	Accounting	Accounting	Caulfield	On Campus	Web	392	2.924	5	Semester 2	0	0	146	4.02	147
5256	2017	Semester 2	ACF5120	Forensic accounting and fraud examination	5	Accounting	Accounting	Caulfield	On Campus	Web	80	1.903	3	Semester 2	0	1	49	4.37	418
5374	2017	Semester 2	ECB1102	Introductory macroeconomics	1	Department of Economics	Department of Economics	Peninsula	On Campus	Web	100	2	3	Semester 2	0	0	25	4.13	246
5416	2017	Semester 2	ECF5953	Economics	5	Department of Economics	Department of Economics	Caulfield	On Campus	Web	472	2.674	5	Semester 2	0	1	295	4.28	163
5475	2017	Semester 2	MGF2111	Organisational behaviour	2	Department of Management	Department of Management	Caulfield	On Campus	Web	183	2.262	4	Semester 2	0	0	52	4.1	306
5490	2017	Semester 2	MGF5600	Managing innovation	5	Department of Management	Department of Management	Caulfield	On Campus	Web	113	2.053	3	Semester 2	0	1	42	4.35	380
5525	2017	Semester 2	MKC1200	Principles of marketing	1	Department of Marketing	Department of Marketing	Clayton	On Campus	Web	710	2.851	5	Semester 2	1	0	208	3.97	169
4948	2017	Semester 1	BEX3012	Industry placement	3	Dean Faculty of Business & Economics	Dean Faculty of Business & Economics	Caulfield	On Campus	Web	14	2.021	1	Semester 1	0	0	6	4.1	526
5062	2017	Semester 1	ECC3710	Labour economics	3	Department of Economics	Department of Economics	Clayton	On Campus	Web	92	1.964	3	Semester 1	1	0	28	4.07	226
5092	2017	Semester 1	ETC2440	Mathematics for economics and business	2	Econometrics & Business Statistics	Econometrics & Business Statistics	Clayton	On Campus	Web	168	2.228	4	Semester 1	1	0	77	4.04	289
5170	2017	Semester 1	MGF5921	Foundations in human resource management	5	Department of Management	Department of Management	Caulfield	On Campus	Web	168	2.225	4	Semester 1	0	1	79	4.32	579
